m1,m2,m3,m4,m5,m6,r1,r2
2930.31862335209,0,1949.94917625295,2933.36862831869,0,1950.81973740619,-0.392112169249446,-0.386133482780841
0,2931.13356854699,1101.29583027438,0,2935.71765883425,1105.45981253758,0.197855435504357,0.181544414574076
0,0,1,0,0,1,-0.0669484068090964,-0.053380633895204
